;,",",=,[,],ID,CONSTNUM,int,bool,char,float,(,),main,print,"""",,CHARCONST,%d,%f,%c,scan,{,},if,else,while,foreach,in,for,return,break,+=,?=,++,??,or,and,not,<=,<,>,>=,==,!=,+,-,*,/,%,CONSTFLOAT,true,false,$,program,declaration-list,declaration,var-declaration,scoped-var-declaration,var-decl-list,var-decl-initialize,simple-expression-list,var-decl-id,scoped-type-specifier,type-specifier,fun-declaration,params,param-list,param-type-list,param-id-list,param-id,statement,print-stmt,scan-stmt,printf,message,var-in-message,scanf,var-in-scan,compound-stmt,local-declarations,statement-list,expression-stmt,selection-stmt,selection-stmt1,iteration-stmt,return-stmt,break-stmt,expression,simple-expression,and-expression,unary-rel-expression,rel-expression,relop,sum-expression,sumop,term,mulop,unary-expression,unaryop,factor,mutable,immutable,call,args,arg-list,constant,const,bool_value,
,,,,,r85,r85,,,,,r85,,,,,,r85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r85,,,,r85,r85,r85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r86,r86,,,,,r86,,,,,,r86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r86,,,,r86,r86,r86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r87,r87,,,,,r87,,,,,,r87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r87,,,,r87,r87,r87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r88,r88,,,,,r88,,,,,,r88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r88,,,,r88,r88,r88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r89,r89,,,,,r89,,,,,,r89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r89,,,,r89,r89,r89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r90,r90,,,,,r90,,,,,,r90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r90,,,,r90,r90,r90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r93,r93,,,,,r93,,,,,,r93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r93,,,,r93,r93,r93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r94,r94,,,,,r94,,,,,,r94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r94,,,,r94,r94,r94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,42,43,46,45,48,,,49,51,55,
,,,,,r97,r97,,,,,r97,,,,,,r97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r97,,,,r97,r97,r97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r98,r98,,,,,r98,,,,,,r98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r98,,,,r98,r98,r98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r99,r99,,,,,r99,,,,,,r99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r99,,,,r99,r99,r99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r100,r100,,,r100,,,,,,,,r100,,,,,,,,,,,,,,,,,,,,,,,,r100,r100,,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,s127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r104,r104,s128,,r104,,,,,,,,r104,,,,,,,,,,,,,,,,,,,,s129,s130,s131,s132,r104,r104,,r104,r104,r104,r104,r104,r104,r104,r104,r104,r104,r104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r76,r76,,,r76,,,,,,,,r76,,,,,,,,,,,,,,,,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
